Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,MIBR,9,6,3,,Leviatán,13,7,6,,1:05:24
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Icebox,MIBR,7,3,4,,Leviatán,13,4,9,,45:04
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Lotus,Sentinels,13,8,5,,NRG Esports,8,4,4,,59:21
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Sunset,Sentinels,14,9,3,2,NRG Esports,12,9,3,0,1:00:54
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Icebox,FURIA,14,6,6,2,100 Thieves,12,6,6,0,1:12:51
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Haven,FURIA,16,9,3,4,100 Thieves,14,9,3,2,1:00:50
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Lotus,LOUD,13,6,7,,Evil Geniuses,7,1,6,,52:39
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Sunset,LOUD,6,6,0,,Evil Geniuses,13,7,6,,40:31
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Icebox,LOUD,11,5,6,,Evil Geniuses,13,6,7,,55:13
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Ascent,G2 Esports,13,4,9,,Cloud9,11,3,8,,1:05:05
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Icebox,G2 Esports,5,2,3,,Cloud9,13,3,10,,40:43
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Lotus,G2 Esports,13,4,9,,Cloud9,8,0,8,,48:18
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Bind,Evil Geniuses,13,9,4,,FURIA,5,2,3,,58:58
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Lotus,Evil Geniuses,13,10,3,,FURIA,4,2,2,,35:13
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Lotus,Sentinels,13,8,5,,KRÜ Esports,11,7,4,,1:06:41
