Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,MIBR,Leviatán,0,2,Leviatán won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Sentinels,NRG Esports,2,0,Sentinels won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,FURIA,100 Thieves,2,0,FURIA won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,LOUD,Evil Geniuses,1,2,Evil Geniuses won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,1,G2 Esports won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Evil Geniuses,FURIA,2,0,Evil Geniuses won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Sentinels,KRÜ Esports,2,0,Sentinels won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,LOUD,MIBR,2,1,LOUD won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Leviatán,100 Thieves,2,0,Leviatán won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,NRG Esports,G2 Esports,0,2,G2 Esports won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Sentinels,Cloud9,2,0,Sentinels won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Evil Geniuses,Leviatán,0,2,Leviatán won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,LOUD,FURIA,1,2,FURIA won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,MIBR,100 Thieves,0,2,100 Thieves won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,NRG Esports,KRÜ Esports,2,1,NRG Esports won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,G2 Esports,KRÜ Esports,2,1,G2 Esports won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,LOUD,Leviatán,0,2,Leviatán won
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,MIBR,FURIA,0,2,FURIA won
