Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Abyss,0,0,0,0.0,0,0,0.0,0.0,0.0,4.65
Bilibili Gaming,Abyss,0,0,0,0.0,0,0,0.0,0.0,0.0,2.94
DRX,Abyss,2,1,1,50.0,20,17,10.0,8.5,9.52,0.0
KRÜ Esports,Abyss,2,1,1,50.0,23,24,11.5,12.0,5.26,2.86
Gen.G,Abyss,0,0,0,0.0,0,0,0.0,0.0,0.0,5.88
Sentinels,Abyss,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
FunPlus Phoenix,Abyss,2,2,0,100.0,26,16,13.0,8.0,6.67,0.0
Team Heretics,Abyss,1,1,0,100.0,13,10,13.0,10.0,0.0,0.0
Leviatán,Abyss,1,1,0,100.0,13,10,13.0,10.0,0.0,4.76
Talon Esports,Abyss,2,1,1,50.0,17,24,8.5,12.0,0.0,2.94
Team Vitality,Abyss,0,0,0,0.0,0,0,0.0,0.0,0.0,10.81
Trace Esports,Abyss,2,0,2,0.0,13,26,6.5,13.0,0.0,2.22
EDward Gaming,Abyss,2,1,1,50.0,21,18,10.5,9.0,3.45,2.17
FUT Esports,Abyss,1,0,1,0.0,10,13,10.0,13.0,4.0,0.0
G2 Esports,Abyss,1,1,0,100.0,13,10,13.0,10.0,0.0,0.0
Paper Rex,Abyss,1,1,0,100.0,13,7,13.0,7.0,0.0,0.0
