Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Ascent,6,3,3,50.0,59,64,9.83,10.67,0.0,11.63
Bilibili Gaming,Ascent,5,3,2,60.0,51,51,10.2,10.2,17.65,17.65
DRX,Ascent,9,5,4,55.56,99,93,11.0,10.33,9.52,17.14
KRÜ Esports,Ascent,8,2,6,25.0,81,100,10.12,12.5,5.26,8.57
Gen.G,Ascent,17,14,3,82.35,212,151,12.47,8.88,26.19,4.41
Sentinels,Ascent,6,2,4,33.33,61,64,10.17,10.67,0.0,29.55
FunPlus Phoenix,Ascent,11,6,5,54.55,118,106,10.73,9.64,0.0,6.25
Team Heretics,Ascent,2,1,1,50.0,24,22,12.0,11.0,0.0,47.46
Leviatán,Ascent,7,4,3,57.14,86,71,12.29,10.14,3.85,26.19
Talon Esports,Ascent,9,2,7,22.22,76,105,8.44,11.67,29.41,8.82
Team Vitality,Ascent,6,3,3,50.0,64,64,10.67,10.67,13.64,10.81
Trace Esports,Ascent,5,5,0,100.0,65,33,13.0,6.6,8.33,20.0
EDward Gaming,Ascent,7,4,3,57.14,71,66,10.14,9.43,10.34,30.43
FUT Esports,Ascent,4,4,0,100.0,53,33,13.25,8.25,4.0,6.38
G2 Esports,Ascent,10,7,3,70.0,115,118,11.5,11.8,21.21,11.11
Paper Rex,Ascent,12,5,7,41.67,120,128,10.0,10.67,3.03,21.82
