Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Bind,9,5,4,55.56,102,88,11.33,9.78,15.38,11.63
Bilibili Gaming,Bind,8,4,4,50.0,81,84,10.12,10.5,5.88,8.82
DRX,Bind,9,5,4,55.56,105,101,11.67,11.22,28.57,5.71
KRÜ Esports,Bind,0,0,0,0.0,0,0,0.0,0.0,0.0,51.43
Gen.G,Bind,12,8,4,66.67,146,130,12.17,10.83,4.76,25.0
Sentinels,Bind,8,4,4,50.0,84,91,10.5,11.38,11.11,6.82
FunPlus Phoenix,Bind,6,3,3,50.0,67,69,11.17,11.5,0.0,25.0
Team Heretics,Bind,13,10,3,76.92,163,124,12.54,9.54,5.41,8.47
Leviatán,Bind,10,5,5,50.0,104,111,10.4,11.1,7.69,0.0
Talon Esports,Bind,3,3,0,100.0,39,24,13.0,8.0,5.88,14.71
Team Vitality,Bind,3,1,2,33.33,26,38,8.67,12.67,4.55,18.92
Trace Esports,Bind,9,3,6,33.33,82,108,9.11,12.0,12.5,13.33
EDward Gaming,Bind,13,8,5,61.54,154,130,11.85,10.0,34.48,4.35
FUT Esports,Bind,9,4,5,44.44,91,99,10.11,11.0,24.0,8.51
G2 Esports,Bind,13,8,5,61.54,147,117,11.31,9.0,24.24,7.41
Paper Rex,Bind,12,6,6,50.0,123,129,10.25,10.75,15.15,10.91
