Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Breeze,8,5,3,62.5,85,81,10.62,10.12,19.23,0.0
Bilibili Gaming,Breeze,1,0,1,0.0,7,13,7.0,13.0,5.88,20.59
DRX,Breeze,4,3,1,75.0,48,29,12.0,7.25,4.76,5.71
KRÜ Esports,Breeze,4,3,1,75.0,51,41,12.75,10.25,10.53,14.29
Gen.G,Breeze,12,8,4,66.67,134,106,11.17,8.83,11.9,4.41
Sentinels,Breeze,4,0,4,0.0,26,52,6.5,13.0,0.0,25.0
FunPlus Phoenix,Breeze,7,3,4,42.86,75,82,10.71,11.71,16.67,4.17
Team Heretics,Breeze,5,2,3,40.0,49,47,9.8,9.4,0.0,13.56
Leviatán,Breeze,6,3,3,50.0,65,61,10.83,10.17,15.38,0.0
Talon Esports,Breeze,4,3,1,75.0,48,43,12.0,10.75,5.88,8.82
Team Vitality,Breeze,5,4,1,80.0,56,42,11.2,8.4,18.18,2.7
Trace Esports,Breeze,5,2,3,40.0,61,59,12.2,11.8,0.0,6.67
EDward Gaming,Breeze,8,6,2,75.0,98,84,12.25,10.5,13.79,4.35
FUT Esports,Breeze,2,1,1,50.0,24,20,12.0,10.0,0.0,36.17
G2 Esports,Breeze,6,3,3,50.0,62,63,10.33,10.5,6.06,12.96
Paper Rex,Breeze,2,0,2,0.0,15,26,7.5,13.0,0.0,30.91
