Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Haven,5,5,0,100.0,65,31,13.0,6.2,19.23,0.0
Bilibili Gaming,Haven,1,0,1,0.0,8,13,8.0,13.0,0.0,11.76
DRX,Haven,5,4,1,80.0,61,39,12.2,7.8,4.76,2.86
KRÜ Esports,Haven,2,2,0,100.0,26,17,13.0,8.5,5.26,11.43
Gen.G,Haven,3,2,1,66.67,32,30,10.67,10.0,4.76,4.41
Sentinels,Haven,2,1,1,50.0,20,18,10.0,9.0,3.7,2.27
FunPlus Phoenix,Haven,7,3,4,42.86,78,78,11.14,11.14,13.33,0.0
Team Heretics,Haven,3,2,1,66.67,35,32,11.67,10.67,2.7,0.0
Leviatán,Haven,3,2,1,66.67,40,31,13.33,10.33,7.69,0.0
Talon Esports,Haven,2,0,2,0.0,18,26,9.0,13.0,5.88,2.94
Team Vitality,Haven,4,1,3,25.0,35,48,8.75,12.0,0.0,8.11
Trace Esports,Haven,7,4,3,57.14,71,70,10.14,10.0,4.17,2.22
EDward Gaming,Haven,3,2,1,66.67,31,28,10.33,9.33,6.9,0.0
FUT Esports,Haven,1,0,1,0.0,5,13,5.0,13.0,0.0,8.51
G2 Esports,Haven,2,1,1,50.0,27,23,13.5,11.5,0.0,1.85
Paper Rex,Haven,1,0,1,0.0,8,13,8.0,13.0,0.0,10.91
