Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Icebox,7,2,5,28.57,66,72,9.43,10.29,15.38,11.63
Bilibili Gaming,Icebox,9,5,4,55.56,92,95,10.22,10.56,17.65,14.71
DRX,Icebox,6,4,2,66.67,63,48,10.5,8.0,14.29,14.29
KRÜ Esports,Icebox,9,3,6,33.33,80,100,8.89,11.11,21.05,2.86
Gen.G,Icebox,16,10,6,62.5,184,173,11.5,10.81,7.14,16.18
Sentinels,Icebox,7,3,4,42.86,81,78,11.57,11.14,0.0,31.82
FunPlus Phoenix,Icebox,11,6,5,54.55,134,115,12.18,10.45,20.0,8.33
Team Heretics,Icebox,13,9,4,69.23,160,128,12.31,9.85,8.11,6.78
Leviatán,Icebox,15,12,3,80.0,183,127,12.2,8.47,30.77,2.38
Talon Esports,Icebox,5,2,3,40.0,39,55,7.8,11.0,11.76,20.59
Team Vitality,Icebox,9,5,4,55.56,96,96,10.67,10.67,31.82,13.51
Trace Esports,Icebox,0,0,0,0.0,0,0,0.0,0.0,0.0,51.11
EDward Gaming,Icebox,9,4,5,44.44,89,101,9.89,11.22,6.9,17.39
FUT Esports,Icebox,8,4,4,50.0,81,80,10.12,10.0,8.0,14.89
G2 Esports,Icebox,14,6,8,42.86,133,141,9.5,10.07,18.18,12.96
Paper Rex,Icebox,10,6,4,60.0,114,95,11.4,9.5,12.12,21.82
