Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Lotus,16,11,5,68.75,203,164,12.69,10.25,26.92,0.0
Bilibili Gaming,Lotus,9,5,4,55.56,102,93,11.33,10.33,17.65,0.0
DRX,Lotus,7,3,4,42.86,75,75,10.71,10.71,9.52,25.71
KRÜ Esports,Lotus,8,5,3,62.5,97,72,12.12,9.0,21.05,0.0
Gen.G,Lotus,21,16,5,76.19,255,187,12.14,8.9,33.33,2.94
Sentinels,Lotus,13,10,3,76.92,164,125,12.62,9.62,25.93,2.27
FunPlus Phoenix,Lotus,15,10,5,66.67,188,144,12.53,9.6,36.67,0.0
Team Heretics,Lotus,18,10,8,55.56,182,200,10.11,11.11,32.43,8.47
Leviatán,Lotus,9,6,3,66.67,107,110,11.89,12.22,7.69,21.43
Talon Esports,Lotus,10,7,3,70.0,111,106,11.1,10.6,41.18,2.94
Team Vitality,Lotus,12,5,7,41.67,133,139,11.08,11.58,13.64,5.41
Trace Esports,Lotus,11,8,3,72.73,135,105,12.27,9.55,25.0,2.22
EDward Gaming,Lotus,4,2,2,50.0,43,45,10.75,11.25,3.45,34.78
FUT Esports,Lotus,11,6,5,54.55,138,124,12.55,11.27,20.0,4.26
G2 Esports,Lotus,16,10,6,62.5,182,155,11.38,9.69,15.15,9.26
Paper Rex,Lotus,16,8,8,50.0,182,159,11.38,9.94,21.21,0.0
