Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Split,6,4,2,66.67,68,55,11.33,9.17,3.85,16.28
Bilibili Gaming,Split,2,1,1,50.0,27,27,13.5,13.5,5.88,11.76
DRX,Split,5,3,2,60.0,55,49,11.0,9.8,14.29,8.57
KRÜ Esports,Split,7,4,3,57.14,75,73,10.71,10.43,21.05,2.86
Gen.G,Split,14,7,7,50.0,155,142,11.07,10.14,4.76,10.29
Sentinels,Split,16,12,4,75.0,186,127,11.62,7.94,48.15,0.0
FunPlus Phoenix,Split,1,0,1,0.0,6,13,6.0,13.0,0.0,41.67
Team Heretics,Split,12,5,7,41.67,115,128,9.58,10.67,5.41,15.25
Leviatán,Split,3,0,3,0.0,16,39,5.33,13.0,3.85,33.33
Talon Esports,Split,1,0,1,0.0,10,13,10.0,13.0,0.0,26.47
Team Vitality,Split,1,0,1,0.0,5,13,5.0,13.0,0.0,29.73
Trace Esports,Split,5,3,2,60.0,58,50,11.6,10.0,4.17,2.22
EDward Gaming,Split,8,6,2,75.0,86,71,10.75,8.88,13.79,4.35
FUT Esports,Split,10,6,4,60.0,114,88,11.4,8.8,24.0,10.64
G2 Esports,Split,8,5,3,62.5,93,82,11.62,10.25,6.06,3.7
Paper Rex,Split,9,7,2,77.78,111,75,12.33,8.33,12.12,3.64
