Team,Map,times_played,maps_won,maps_lost,map_win_rate,rounds_won,rounds_lost,avg_round_win_per_game,avg_round_lost_per_game,map_pick_rate,map_ban_rate
FNATIC,Sunset,4,3,1,75.0,50,45,12.5,11.25,0.0,44.19
Bilibili Gaming,Sunset,6,3,3,50.0,68,64,11.33,10.67,29.41,11.76
DRX,Sunset,5,2,3,40.0,60,58,12.0,11.6,4.76,20.0
KRÜ Esports,Sunset,8,3,5,37.5,75,87,9.38,10.88,10.53,5.71
Gen.G,Sunset,10,5,5,50.0,107,108,10.7,10.8,7.14,26.47
Sentinels,Sunset,8,6,2,75.0,98,84,12.25,10.5,11.11,2.27
FunPlus Phoenix,Sunset,12,6,6,50.0,115,128,9.58,10.67,6.67,14.58
Team Heretics,Sunset,19,15,4,78.95,232,151,12.21,7.95,45.95,0.0
Leviatán,Sunset,10,7,3,70.0,107,90,10.7,9.0,23.08,11.9
Talon Esports,Sunset,5,1,4,20.0,43,62,8.6,12.4,0.0,11.76
Team Vitality,Sunset,14,9,5,64.29,154,133,11.0,9.5,18.18,0.0
Trace Esports,Sunset,14,8,6,57.14,161,140,11.5,10.0,45.83,0.0
EDward Gaming,Sunset,12,8,4,66.67,130,109,10.83,9.08,6.9,2.17
FUT Esports,Sunset,12,5,7,41.67,126,125,10.5,10.42,16.0,10.64
G2 Esports,Sunset,6,2,4,33.33,64,71,10.67,11.83,9.09,40.74
Paper Rex,Sunset,17,15,2,88.24,206,134,12.12,7.88,36.36,0.0
