Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,MIBR,8,0,1,0,11,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,Leviatán,11,1,1,0,8,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Icebox,MIBR,4,2,1,0,8,1,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Icebox,Leviatán,8,1,4,0,4,2,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Lotus,Sentinels,10,1,2,0,3,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Lotus,NRG Esports,3,2,3,0,10,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Sunset,Sentinels,11,2,1,0,7,3,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Sunset,NRG Esports,7,3,2,0,11,2,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Icebox,FURIA,11,0,2,1,10,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Icebox,100 Thieves,10,1,1,0,11,0,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Haven,FURIA,11,2,3,0,10,2,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Haven,100 Thieves,10,2,2,0,11,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Lotus,LOUD,9,2,2,0,5,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Lotus,Evil Geniuses,5,1,1,0,9,2,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Sunset,LOUD,3,0,3,0,7,3,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Sunset,Evil Geniuses,7,3,3,0,3,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Icebox,LOUD,8,0,3,0,8,1,3,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Icebox,Evil Geniuses,8,1,3,1,8,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Ascent,G2 Esports,10,0,2,1,7,0,3,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Ascent,Cloud9,7,0,3,1,10,0,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Icebox,G2 Esports,2,2,1,0,7,3,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Icebox,Cloud9,7,3,3,0,2,2,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Lotus,G2 Esports,5,2,5,1,5,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Lotus,Cloud9,5,0,3,0,5,2,5,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Bind,Evil Geniuses,8,2,2,1,1,1,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Bind,FURIA,1,1,3,0,8,2,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Lotus,Evil Geniuses,8,0,5,0,3,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Lotus,FURIA,3,0,1,0,8,0,5,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Lotus,Sentinels,6,3,4,0,6,2,1,2
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,6,2,1,2,6,3,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Split,Sentinels,5,4,2,2,7,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Split,KRÜ Esports,7,1,2,0,5,4,2,2
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Ascent,LOUD,7,0,5,1,3,2,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Ascent,MIBR,3,2,2,0,7,0,5,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Lotus,LOUD,3,4,4,0,9,0,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Lotus,MIBR,9,0,4,0,3,4,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Sunset,LOUD,7,1,4,1,7,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Sunset,MIBR,7,1,1,0,7,1,4,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Bind,Leviatán,11,1,1,0,3,1,5,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Bind,100 Thieves,3,1,5,1,11,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Haven,Leviatán,10,0,3,0,3,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Haven,100 Thieves,3,0,1,0,10,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Haven,NRG Esports,2,2,3,0,7,4,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Haven,G2 Esports,7,4,2,0,2,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Bind,NRG Esports,5,2,1,0,7,4,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Bind,G2 Esports,7,4,2,0,5,2,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Haven,Sentinels,8,3,2,0,2,0,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Haven,Cloud9,2,0,2,1,8,3,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Split,Sentinels,8,2,2,1,5,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Split,Cloud9,5,0,3,0,8,2,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Icebox,Evil Geniuses,3,2,0,0,9,0,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Icebox,Leviatán,9,0,4,0,3,2,0,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Sunset,Evil Geniuses,5,2,3,0,8,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Sunset,Leviatán,8,2,3,0,5,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Haven,LOUD,9,2,2,0,7,1,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Haven,FURIA,7,1,2,1,9,2,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Icebox,LOUD,7,0,3,0,7,0,6,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Icebox,FURIA,7,0,6,0,7,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Bind,LOUD,6,1,2,0,8,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Bind,FURIA,8,2,3,0,6,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Icebox,MIBR,4,0,1,0,9,0,3,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Icebox,100 Thieves,9,0,3,1,4,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Split,MIBR,1,1,4,0,10,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Split,100 Thieves,10,1,2,0,1,1,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Split,NRG Esports,5,0,2,1,8,1,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Split,KRÜ Esports,8,1,4,0,5,0,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Ascent,NRG Esports,12,0,1,0,7,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Ascent,KRÜ Esports,7,0,1,0,12,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Sunset,NRG Esports,9,1,2,1,5,1,1,0
